well worth revisiting as many times 	positive
feels like the work of someone who may indeed have finally aged past his prime ... and , perhaps more than he realizes , 	negative
undistinguished 	negative
feels more like a quickie tv special than a feature film 	negative
the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired . 	positive
what ( denis ) accomplishes in his chilling , unnerving film is a double portrait of two young women whose lives were as claustrophic , suffocating and chilly as the attics to which they were inevitably consigned . 	positive
hollywood trap 	negative
hip 	positive
close enough in spirit to its freewheeling trash-cinema roots to be a breath of fresh air . 	positive
sucking you in ... 	positive
is almost in a class with that of wilde himself . 	positive
its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring 	positive
the kind of obnoxious 	negative
i liked the original short story but this movie , even at an hour and twenty-some minutes , it 's too long and it goes nowhere . 	negative
you 're an agnostic carnivore 	negative
if you can swallow its absurdities and crudities lagaan really is enormously good fun . 	positive
a spiffy animated feature 	positive
breathtaking mystery 	positive
hard to care 	negative
in a class with spike lee 's masterful 	positive
the power 	positive
feeling guilty for it 	negative
shiri is an action film that delivers on the promise of excitement 	positive
a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers ' sporadic dips into pop freudianism 	positive
thanks to kline 's superbly nuanced performance , that pondering 	positive
reality shows -- reality shows for god 's sake ! 	negative
the beaten path , not necessarily for the better 	negative
incoherence 	negative
are just too many characters saying too many clever things and getting into too many pointless situations 	negative
a snore and utter tripe 	negative
the teeny-bopper set 	negative
has more in common with a fireworks display than a movie , which normally is expected to have characters and a storyline . 	negative
