Tibco has used the Rendezvous name since 1994 for several of its technology products , according to the Palo Alto , California company .	Tibco has used the Rendezvous name since 1994 for several of its technology products , it said .	Equivalent
Most of the alleged spammers engaged in fraudulent or deceptive practices , said Brad Smith , Microsoft 's senior VP and general counsel .	" Spam knows no borders , " said Brad Smith , Microsoft 's senior vice-president and general counsel .	NotEquivalent
Yesterday , Taiwan reported 35 new infections , bringing the total number of cases to 418 .	The island reported another 35 probable cases yesterday , taking its total to 418 .	Equivalent
A month ago , the Commerce Department estimated that GDP had grown at a 7.2 percent rate in the third quarter .	A month ago , the Commerce Department said GDP grew at a 7.2 percent rate .	Equivalent
Gillespie sent a letter to CBS President Leslie Moonves asking for a historical review or a disclaimer .	Republican National Committee Chairman Ed Gillespie issued a letter Friday to CBS Television President Leslie Moonves .	NotEquivalent
A New Castle County woman has become the first Delaware patient to contract the West Nile virus this year , the state 's Department of Health reported .	A 62-year-old West Babylon man has contracted the West Nile virus , the first human case in Suffolk County this year , according to the county health department .	NotEquivalent
He admits he occasionally lived the life of a playboy : smoking pot , chasing women and living fast and loose .	Schwarzenegger has admitted to occasionally living the life of a playboy : smoking pot , chasing women and living fast and loose .	Equivalent
U.S. law enforcement officials are sneering at Dar Heatherington 's version of the events which thrust her into the public spotlight .	U.S. law enforcement officials are sneering at Dar Heatherington 's version of of the events -- including a police conspiracy to discredit her -- which thrust her into the public spotlight .	Equivalent
He reportedly claims Prime Minister Sir Allan Kemakeza had made a deal with him to keep his guns while Harold Keke 's group was armed .	He was reported as saying Prime Minister Sir Allan Kemakeza had made a deal with him to keep his guns while notorious warlord Harold Keke 's group was armed .	Equivalent
History will remember the University of Washington 's Dr. Belding Scribner as the man who has saved more than a million lives by making long-term kidney dialysis possible .	Dr. Belding Scribner , inventor of a device that made long-term kidney dialysis possible and has saved more than a million lives , has died in Seattle at age 82 .	NotEquivalent
He plans to have dinner with troops at Kosovo 's U.S. military headquarters , Camp Bondsteel .	After that , he plans to have dinner at Camp Bondsteel with U.S. troops stationed there .	Equivalent
Duisenberg said in an interview with Bloomberg News ' German television channel released earlier on Wednesday it was too early to discuss further interest rate cuts for the euro zone .	European Central Bank President Wim Duisenberg said in a televised interview that it was too soon to discuss further interest rate cuts in the euro zone .	Equivalent
However , George Heath , a Fort Campbell spokesman , said shortly after the attack that Akbar had " an attitude problem " .	However , a Fort Campbell spokesman , said that Akbar had " an attitude problem . "	Equivalent
The pressure will intensify today , with national coverage of the final round planned by ESPN and words that are even more difficult .	The pressure may well rise today , with national coverage of the final round planned by ESPN , the cable sports network .	NotEquivalent
Yeager said the suspect in the Target attack showed tendencies of being a prior offender .	Yeager said the incident appeared to be isolated , but the suspect showed tendencies of being a prior offender .	NotEquivalent
Already suffering with the nation 's worst credit rating , the state is operating for the first time completely on borrowed money .	The Davis administration says the state is operating for the first time completely on borrowed money .	NotEquivalent
The draft of the report was forthright : " Climate change has global consequences for human health and the environment . "	The original report had concluded that ' ' climate change has global consequences for human health and the environment , ' ' according to an internal EPA memo .	Equivalent
Gov. Linda Lingle and members of her staff were at the Navy base and watched the launch .	Gov. Linda Lingle and other dignitaries are scheduled to be at the base to watch the launch .	Equivalent
The company 's chief executive retired and chief financial officer resigned .	A third executive , chief operating officer David Glenn was fired .	NotEquivalent
About 1,000 people attended the ceremony , kicking off two days of observances tied to the March on Washington .	About 1,000 people came in stifling heat to begin two days of observances tied to the coming 40th anniversary of the March on Washington on Aug. 28 , 1963 .	Equivalent
The new rules will allow a single company to own TV stations that reach 45 percent of U.S. households instead of the old 35 percent .	The changed national ownership limit allows a company to own TV stations reaching 45 percent of U.S. households instead of 35 percent .	Equivalent
The Taiwan Stock Exchange will ask the Securities and Futures Commission ( SFC ) to suspend trading in Mosel shares .	A request for a two-month extension was denied and the Taiwan Stock Exchange is to ask the Securities and Futures Commission ( SFC ) to suspend trading in Mosel shares .	NotEquivalent
Media Editor Jon Friedman contributed to this story .	Jon Friedman is media editor for CBS.MarketWatch.com in New York .	NotEquivalent
Fewer than a dozen FBI agents were dispatched to secure and analyze evidence .	Fewer than a dozen FBI agents will be sent to Iraq to secure and analyze evidence of the bombing .	Equivalent
Mr. Yandarbiyev resides in Doha , Qatar , and Russian authorities have unsuccessfully tried to have him extradited for nearly two years .	He resides in Doha , Qatar , from which Russian authorities have been trying to extradite him for nearly two years .	Equivalent
Californias rate was 6.4 percent , down from a revised 6.7 percent in August and also down from the 6.7 percent posted in September 2002 .	The statewide unemployment rate fell to 6.4 percent , down from a revised 6.7 percent in August .	NotEquivalent
" We are very pleased that the court dismissed the vast majority of the plaintiff 's claims , " Coke spokeswoman Sonya Soutus said .	" We are very pleased that the court dismissed the vast majority of the plaintiff 's claims , " said Coke spokesman Ben Deutsch .	Equivalent
Shelley 's office reported Friday that 575,926 signatures have been reported to him .	Shelley 's office released signature counts late Friday and said counties had reported counting 575,926 signatures so far .	NotEquivalent
Under the settlement , Solutia will pay $ 50 million in equal installments over a period of 10 years .	Under the agreement , Solutia will pay $ 50 million and Monsanto will pay $ 390 million .	NotEquivalent
He has established a group to revise the constitution , possibly to protect private property .	He also left out any reference to amending the constitution to guarantee private property rights .	NotEquivalent
PeopleSoft gained 94 cents , or 5.5 percent , to $ 18.09 .	PeopleSoft gained $ 1.09 , or 6.3 percent , to $ 18.24 and was Nasdaq 's most active issue .	NotEquivalent
Currently , about 37,000 U.S. troops are stationed in South Korea .	There are 100,000 U.S. troops in Asia , most of them in South Korea and Japan .	NotEquivalent
