is richly detailed , deftly executed and utterly absorbing 	positive
wondering -- sometimes amusedly , sometimes impatiently -- just what this strenuously unconventional movie is supposed to be 	negative
marvelous documentary touches 	positive
take on a great writer and dubious human being 	positive
, you 're desperate for the evening to end . 	negative
classified as a movie-industry satire 	negative
devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu 	negative
is leguizamo 's best movie work so far , a subtle and richly internalized performance . 	positive
witless and utterly pointless . 	negative
be more genial than ingenious 	negative
bad writing , 	negative
at keeping themselves kicking 	positive
's no way you wo n't be talking about the film once you exit the theater 	positive
of unbridled greed and materalism 	negative
the movie , shot on digital videotape rather than film 	negative
things insipid 	negative
wears out its limited welcome 	negative
like a living-room war of the worlds , gaining most of its unsettling force from the suggested and the unknown 	positive
the lack of naturalness makes everything seem self-consciously poetic and forced ... it 's a pity that ( nelson 's ) achievement does n't match his ambition 	negative
director alfonso cuaron gets vivid , convincing performances from a fine cast , and generally keeps things going at a rapid pace , occasionally using an omniscient voice-over narrator in the manner of french new wave films . 	positive
to the empty stud knockabout of equilibrium 	negative
bidder 	positive
cannon 's confidence and 	positive
juiced 	positive
one of the funniest motion pictures of the year , but ... also one of the most curiously depressing 	positive
the movie has a script ( by paul pender ) made of wood , and it 's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions . 	negative
dead 	negative
if considerably less ambitious , 	negative
in the screenplay to keep the film entertaining 	positive
delivers a perfect performance that captures the innocence and budding demons within a wallflower 	positive
consistently funny , in an irresistible junior-high way , 	positive
this seductive tease of a thriller gets the job done . 	positive
