What 2th-century American poet wrote a four-volume biography of Abraham Lincoln ?	human
What Nevada center has been dubbed The Biggest Little City in the World ?	location
What culture developed the idea of potlatch ?	human
What happens to the female body with lack of sleep and food ?	description
How many different vegetation zones are there ?	numeric
What city in Florida is Sea World in ?	location
How do storms form ?	description
What state did Helen Keller call home ?	location
What is the name of the kids ' show from Canadian Public TV with the singing pineapple ?	entity
Where was the largest concentration camp in World War II ?	location
What was the first Gilbert and Sullivan opera ?	entity
What university fired Angela Davis ?	human
What is the best art and design school in the world ?	human
What Frenchman claimed the following ? If God did not exist , it would be necessary to invent him . ''	human
Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?	human
What is the Homelite Inc. home page ?	location
Where can I buy movies on videotape online ?	location
Who claimed to be the world 's most perfectly-developed man ?	human
What kind of dog is Scooby Doo ?	entity
What animal dined on bread and oysters with a carpenter ?	entity
How did the jack-o '-lantern get it 's name ?	description
What is the oldest website on the Internet ?	location
What is the difference between a classical and an acoustic guitar ?	description
How do you get a broken cork out of a bottle ?	description
Where can I find information about touring the Philippines ?	location
How do you say I love you in Spanish ?	entity
How did the war of 1812 affect Delaware ?	description
Which airplane was Fawaz Younis convicted of hijacking ?	entity
What kind of car did Janis Joplin ask the Lord to buy her ?	entity
Who headed Hitler 's infamous Gestapo ?	human
When were fish first believed to be found on earth ?	numeric
What is the fear of the computer called ?	entity
Why does it snow ?	description
How long ago was the Roe vs. Wade decision by the Supreme Court ?	numeric
What is a Guild ?	description
How many bends are there in a standard paper clip ?	numeric
How old is the Italian artist Maurizio Pellegrin ?	numeric
How many different languages are spoken in Europe ?	numeric
What does a teaspoon of matter weigh in a black hole ?	numeric
What is LMDS ?	abbreviation
What do the letters ZIP stand for in the phrase `` ZIP code '' ?	abbreviation
What chapter of the Bible has the most verses ?	numeric
What does the `` blue ribbon '' stand for ?	abbreviation
What does the E stand for in the equation E=mc2 ?	abbreviation
What does MSG stand for ?	abbreviation
What does SIDS stand for ?	abbreviation
What is DEET ?	abbreviation
What does BTU mean ?	abbreviation
